scientific_name,preferred_common_name,habitat,genus,family,family_order,breeding_population,winter_visitor_population
Phalacrocorax carbo,Cormorant,marine/terrestrial/freshwater,Phalacrocorax,Phalacrocoracidae,Pelecaniformes,8900,"64,500+"
Lagopus muta,Ptarmigan,,Lagopus,Phasianidae,Galliformes,"(2000–15,000)",
Lophura edwardsi,Edwards's Pheasant,,Lophura,Phasianidae,Galliformes,,
Lyrurus tetrix,Black Grouse,,Lyrurus,Phasianidae,Galliformes,4850,
Balearica pavonina,Black Crowned Crane,,Balearica,Gruidae,Gruiformes,,
Balearica regulorum,Grey Crowned Crane,,Balearica,Gruidae,Gruiformes,,
Antigone canadensis,Sandhill Crane,terrestrial/freshwater,Antigone,Gruidae,Gruiformes,,
Fulica atra,Coot,terrestrial/freshwater,Fulica,Rallidae,Gruiformes,"26,000+",205000
Zapornia pusilla,Baillon's Crake,terrestrial/freshwater,Zapornia,Rallidae,Gruiformes,,
Zapornia parva,Little Crake,terrestrial/freshwater,Zapornia,Rallidae,Gruiformes,,
Gallinula chloropus,Moorhen,terrestrial/freshwater,Gallinula,Rallidae,Gruiformes,210000,305000
Gavia arctica,Black-throated Diver,marine/freshwater,Gavia,Gaviidae,Gaviiformes,215 (190–250),560+
Gavia stellata,Red-throated Diver,marine/freshwater,Gavia,Gaviidae,Gaviiformes,"1,250 (1,000–1,550)","21,500+"
Gavia pacifica,Pacific Diver,,Gavia,Gaviidae,Gaviiformes,,
Gavia immer,Great Northern Diver,marine,Gavia,Gaviidae,Gaviiformes,,"4,400+"
Cygnus columbianus,Tundra Swan,terrestrial/freshwater,Cygnus,Anatidae,Anseriformes,,
Histrionicus histrionicus,Harlequin Duck,marine,Histrionicus,Anatidae,Anseriformes,,
Tadorna tadorna,Shelduck,terrestrial/freshwater,Tadorna,Anatidae,Anseriformes,"7,850+",51000
Anser serrirostris,Tundra Bean Goose,terrestrial/freshwater,Anser,Anatidae,Anseriformes,,300
Polysticta stelleri,Steller's Eider,marine,Polysticta,Anatidae,Anseriformes,,
Aythya marila,Scaup,marine/freshwater,Aythya,Anatidae,Anseriformes,(0–1),"6,400+"
Aythya fuligula,Tufted Duck,terrestrial/freshwater,Aythya,Anatidae,Anseriformes,"(16,500–19,000)",140000
Spatula clypeata,Shoveler,freshwater,Spatula,Anatidae,Anseriformes,1100,19500
Spatula querquedula,Garganey,freshwater,Spatula,Anatidae,Anseriformes,105,
Bucephala clangula,Goldeneye,terrestrial/freshwater,Bucephala,Anatidae,Anseriformes,200,21000
Mergus merganser,Goosander,terrestrial/freshwater,Mergus,Anatidae,Anseriformes,"4,800 (4,250–5,250)+",14500
Mergus serrator,Red-breasted Merganser,marine/terrestrial/freshwater,Mergus,Anatidae,Anseriformes,"1,650+",11000
