scientific_name,preferred_common_name,habitat,genus,family,family_order,breeding_population,winter_visitor_population
Picus viridis,Green Woodpecker,,Picus,Picidae,Piciformes,"45,500 (40,500–50,500)",
Dryobates minor,Lesser Spotted Woodpecker,terrestrial,Dryobates,Picidae,Piciformes,"(600–1,000)",
Sphyrapicus varius,Yellow-bellied Sapsucker,,Sphyrapicus,Picidae,Piciformes,,
Rhea americana,Greater Rhea,,Rhea,Rheidae,Rheiformes,,
Ixobrychus minutus,Little Bittern,terrestrial/freshwater,Ixobrychus,Ardeidae,Ciconiiformes,5,
Botaurus stellaris,Bittern,terrestrial/freshwater,Botaurus,Ardeidae,Ciconiiformes,191+,795
Botaurus lentiginosus,American Bittern,terrestrial,Botaurus,Ardeidae,Ciconiiformes,,
Ardea cinerea,Grey Heron,freshwater,Ardea,Ardeidae,Ciconiiformes,"10,500 (10,000–11,000)",45500
Ardea alba,Great White Egret,freshwater,Ardea,Ardeidae,Ciconiiformes,(8–12),72
Ardea purpurea,Purple Heron,freshwater,Ardea,Ardeidae,Ciconiiformes,0,
Egretta garzetta,Little Egret,marine/freshwater,Egretta,Ardeidae,Ciconiiformes,"1,100+",11500
Egretta thula,Snowy Egret,,Egretta,Ardeidae,Ciconiiformes,,
Ardeola ralloides,Squacco Heron,,Ardeola,Ardeidae,Ciconiiformes,,
Bubulcus coromandus,Eastern Cattle Egret,,Bubulcus,Ardeidae,Ciconiiformes,,
Butorides striata,Striated Heron,marine/terrestrial,Butorides,Ardeidae,Ciconiiformes,,
Butorides virescens,Green Heron,,Butorides,Ardeidae,Ciconiiformes,,
Platalea leucorodia,Spoonbill,marine/freshwater,Platalea,Threskiornithidae,Ciconiiformes,29,105
Ciconia episcopus,Woolly-necked Stork,,Ciconia,Ciconiidae,Ciconiiformes,,
Clamator glandarius,Great Spotted Cuckoo,,Clamator,Cuculidae,Cuculiformes,,
Coccyzus americanus,Yellow-billed Cuckoo,,Coccyzus,Cuculidae,Cuculiformes,,
Coccyzus erythropthalmus,Black-billed Cuckoo,,Coccyzus,Cuculidae,Cuculiformes,,
Cuculus canorus,Cuckoo,,Cuculus,Cuculidae,Cuculiformes,"18,000 (9,800–26,000)+",
Falco peregrinus,Peregrine,,Falco,Falconidae,Falconiformes,"1,750 (1,600–1,900)",
Falco eleonorae,Eleonora's Falcon,,Falco,Falconidae,Falconiformes,,
Falco columbarius,Merlin,,Falco,Falconidae,Falconiformes,"1,150 (890–1,450)",
Falco subbuteo,Hobby,,Falco,Falconidae,Falconiformes,2050,
Falco vespertinus,Red-footed Falcon,,Falco,Falconidae,Falconiformes,,
Falco tinnunculus,Kestrel,,Falco,Falconidae,Falconiformes,31000,
Falco punctatus,Mauritius Kestrel,,Falco,Falconidae,Falconiformes,,
Falco naumanni,Lesser Kestrel,,Falco,Falconidae,Falconiformes,,
Micrastur plumbeus,Plumbeous Forest Falcon,,Micrastur,Falconidae,Falconiformes,,
Pithecophaga jefferyi,Philippine Eagle,,Pithecophaga,Accipitridae,Falconiformes,,
Pandion haliaetus,Osprey,terrestrial/freshwater,Pandion,Accipitridae,Falconiformes,240+,
Aquila chrysaetos,Golden Eagle,,Aquila,Accipitridae,Falconiformes,510,
Spilornis kinabaluensis,Mountain Serpent Eagle,,Spilornis,Accipitridae,Falconiformes,,
Spilornis elgini,Andaman Serpent Eagle,,Spilornis,Accipitridae,Falconiformes,,
Eutriorchis astur,Madagascan Serpent Eagle,,Eutriorchis,Accipitridae,Falconiformes,,
Circaetus gallicus,Short-toed Eagle,,Circaetus,Accipitridae,Falconiformes,,
Pernis apivorus,Honey-buzzard,,Pernis,Accipitridae,Falconiformes,(33–69),
Clanga clanga,Spotted Eagle,terrestrial/freshwater,Clanga,Accipitridae,Falconiformes,,
Haliaeetus albicilla,White-tailed Eagle,marine/terrestrial,Haliaeetus,Accipitridae,Falconiformes,123+,
Haliaeetus vociferoides,Madagascan Fish Eagle,,Haliaeetus,Accipitridae,Falconiformes,,
Buteo buteo,Buzzard,,Buteo,Accipitridae,Falconiformes,"(63,000–87,500)",
Rissa tridactyla,Kittiwake,marine,Rissa,Laridae,Charadriiformes,"205,000 (175,000–255,000)",
Xema sabini,Sabine's Gull,marine,Xema,Laridae,Charadriiformes,,
Gelochelidon nilotica,Gull-billed Tern,marine,Gelochelidon,Laridae,Charadriiformes,,
Rhodostethia rosea,Ross's Gull,marine,Rhodostethia,Laridae,Charadriiformes,,
Leucophaeus atricilla,Laughing Gull,marine/terrestrial/freshwater,Leucophaeus,Laridae,Charadriiformes,,
Leucophaeus pipixcan,Franklin's Gull,marine/terrestrial/freshwater,Leucophaeus,Laridae,Charadriiformes,,
Chroicocephalus philadelphia,Bonaparte's Gull,marine,Chroicocephalus,Laridae,Charadriiformes,,
Chroicocephalus ridibundus,Black-headed Gull,marine/freshwater,Chroicocephalus,Laridae,Charadriiformes,"140,000+","2,200,000 (2,100,000–2,300,000)+"
Chroicocephalus genei,Slender-billed Gull,marine,Chroicocephalus,Laridae,Charadriiformes,,
Onychoprion anaethetus,Bridled Tern,marine,Onychoprion,Laridae,Charadriiformes,,
Larus michahellis,Yellow-legged Gull,freshwater,Larus,Laridae,Charadriiformes,2,840
Larus hyperboreus,Glaucous Gull,marine/freshwater,Larus,Laridae,Charadriiformes,,165+
Larus fuscus,Lesser Black-backed Gull,marine/freshwater,Larus,Laridae,Charadriiformes,"110,000-","130,000 (120,000–130,000)+"
